t_sec,joint,delta_deg
10.446797,joint4,179.484
10.446797,joint6,179.484
10.448824,joint4,179.484
10.448824,joint6,179.484
11.659791,joint4,179.484
11.659791,joint6,179.484
11.661592,joint4,179.484
11.661592,joint6,179.484
11.859007,joint4,179.484
11.859007,joint6,179.484
11.860984,joint4,179.484
11.860984,joint6,179.484
11.866779,joint4,179.484
11.866779,joint6,179.484
11.868798,joint4,179.484
11.868798,joint6,179.484
11.996821,joint4,179.484
11.996821,joint6,179.484
11.998944,joint4,179.484
11.998944,joint6,179.484
12.008915,joint4,179.484
12.008915,joint6,179.484
12.010705,joint4,179.484
12.010705,joint6,179.484
12.041124,joint4,179.484
12.041124,joint6,179.484
12.042993,joint4,179.484
12.042993,joint6,179.484
12.048846,joint4,179.484
12.048846,joint6,179.484
12.050687,joint4,179.484
12.050687,joint6,179.484
12.089765,joint4,179.484
12.089765,joint6,179.484
12.091718,joint4,179.484
12.091718,joint6,179.484
12.09759,joint4,179.484
12.09759,joint6,179.484
12.099647,joint4,179.484
12.099647,joint6,179.484
12.119414,joint4,179.484
12.119414,joint6,179.484
12.121375,joint4,179.484
12.121375,joint6,179.484
